astrophysical journal, 1
astronomical journal, 1
monthly notices royal astronomical society, 1
physical review b, 1
physical review, 1
publications astronomical society pacific, 1
astronomy astrophysics, 1
revista mexicana de astronomia astrofisica, 1
nature physics, 1
nature astronomy, 1
nature, 1
science, 1
astronomy astrophysics review, 1
astronomy and astrophysics supplement series, 1
astrophysical journal supplement series, 1
annual review astronomy astrophysics, 1
advances space research, 1
space science reviews, 1
icarus, 1
astronomy computing, 2
astrophysics space science, 3
astronomische nachrichten, 2
international journal astrobiology, 2
new astronomy, 2
acta astronomica, 2
planetary space science, 2
frontiers physics, 2
information bulletin variable stars, 4
radio science, 2
microscopy microanalysis, 2
astroparticle physics, 2
journal sound vibration, 1
journal petrology, 1
nuclear physics b, 1
classical quantum gravity, 1
optics & photonics news, 2
modern physics letters, 2
international journal theoretical physics, 3
journal mathematical physics, 2
observatory, 4
general relativity gravitation, 2
international journal modern physics, 2
journal high energy physics, 2
annals physics, 2
measurement science technology, 2
physics education, 2
solid state communications, 3
journal navigation, 2
physics teacher, 3
journal physics conference series, 0
physics today, 2
journal physics applied physics, 1
hyperfine interactions, 3
journal non crystalline solids, 2
peremennye zvezdy, 0
european journal physics, 2
applied spectroscopy, 2
journal magnetism magnetic materials, 2
ieee transactions antennas propagation, 1
journal modern optics, 2
sensors, 1
physical review letters, 1
radiation physics chemistry, 2
nuclear fusion, 1
ieee transactions plasma science, 2
physica b condensed matter, 3
journal applied physics, 2
optical materials, 2
european journal mechanics b fluids, 2
physical review physics education research, 2
thin solid films, 2
estuarine coastal shelf science, 1
continental shelf research, 1
journal marine systems, 1
applied physics letters, 1
semiconductor science technology, 2
optics communications, 2
journal nuclear materials, 1
spectroscopy letters, 3
natural hazards earth system sciences, 1
european physical journal c, 1
geomorphology, 1
biogeosciences discussions, 2
acta physica polonica, 3
atmospheric research, 1
solid state electronics, 2
journal optical society america b optical physics, 1
vacuum, 1
annales geophysicae, 1
journal instrumentation, 1
surface science, 2
applied physics b : lasers optics, 2
journal climate, 1
international journal mass spectrometry, 2
optics express, 1
physical review c, 1
review scientific instruments, 2
journal computational physics, 0
ieee transactions microwave theory techniques, 1
atmospheric chemistry & physics, 1
hydrology earth system sciences, 1
2d materials, 1
international journal remote sensing, 1
physica statistical mechanics applications, 2
international journal quantum chemistry, 2
chemical physics, 2
journal chemical physics, 1
chemical physics letters, 0
international journal computational fluid dynamics, 2
journal south american earth sciences, 1
geophysical research letters, 1
journal nanoparticle research, 2
ieee transactions nuclear science, 2
journal materials research, 2
optics letters, 1
european physical journal b, 1
geophysical prospecting, 2
iop conference series : earth environmental science, 0
experimental astronomy, 3
journal astrophysics astronomy, 3
physics reports, 1
physics plasmas, 2
revista brasileira de fisica, 4
geochimica et cosmochimica acta, 1
bulletin volcanology, 1
ieee antennas propagation magazine, 1
nature communications, 1
chemical geology, 1
pure applied geophysics, 2
agricultural forest meteorology, 1
smart material structures, 1
soft matter, 1
laser physics letters, 1
journal volcanology geothermal research, 1
european physical journal special topics, 2
journal arid environments, 2
symmetry, 3
climate past, 1
canadian journal physics, 3
universe, 2
journal fluid mechanics, 1
climate research, 2
boundary-layer meteorology, 2
journal guidance control dynamics, 1
radiation measurements, 2
czechoslovak journal physics, 4
indian journal physics, 3
physica status solidi b basic research, 2
reviews modern physics, 1
journal physics chemistry solids, 2
solar physics, 2
journal spacecraft rockets, 2
applied optics, 2
superlattices microstructures, 2
journal luminescence, 2
journal atmospheric chemistry, 3
nonlinearity, 1
powder diffraction, 3
journal molecular spectroscopy, 2
journal cosmology astroparticle physics, 2
contributions astronomical observatory skalnate pleso, 3
solid state sciences, 2
atmospheric measurement techniques, 1
chaos, 1
philosophical magazine, 2
journal aerosol science, 2
earth moon planets, 3
journal quantitative spectroscopy radiative transfer, 1
applied surface science, 1
combustion theory modelling, 1
journal low temperature physics, 3
superconductor science technology, 1
ieee photonics technology letters, 1
publications astronomical society australia, 1
ieee transactions geoscience remote sensing, 1
new astronomy reviews, 1
journal structural geology, 1
tectonophysics, 1
international journal earth sciences, 1
physics fluids, 1
journal geophysical research ( solid earth ), 1
space weather, 2
computer physics communications, 1
ieee transactions applied superconductivity, 3
physics fluids b, 1
international journal modern physics b, 2
plasma physics controlled fusion, 1
surveys geophysics, 1
physical review e, 1
journal physics condensed matter, 1
journal physical oceanography, 1
ocean science, 1
deep sea research part ii : topical studies oceanography, 1
journal atmospheric oceanic technology, 2
progress oceanography, 1
ieee journal selected topics applied earth observations remote sensing, 1
international journal climatology, 1
pure applied physics, 2
celestial mechanics dynamical astronomy, 2
chaos solitons fractals, 1
astronomical astrophysical transactions, 4
heat transfer engineering, 2
journal crystal growth, 2
american journal physics, 2
entropy, 2
shock waves, 3
aip advances, 2
international journal thermophysics, 3
experiments fluids, 1
physica e low-dimensional systems nanostructures, 2
journal nonlinear optical physics materials, 3
comptes rendus physique, 1
optics laser technology, 2
brazilian journal physics, 3
isprs annals photogrammetry remote sensing spatial information sciences, 0
progress surface science, 1
journal applied remote sensing, 2
astro-particle physics, 2
computer methods applied mechanics engineering, 1
ieee sensors journal, 1
marine ecology, 1
earth surface processes landforms, 1
nature nanotechnology, 1
journal biomedical optics, 1
computers geosciences, 1
journal lightwave technology, 1
geo-marine letters, 1
optical engineering, 3
molecular physics, 2
applied geochemistry, 2
journal atmospheric solar-terrestrial physics, 2
marine geophysical research, 2
journal plasma physics, 2
experimental heat transfer, 1
results physics, 2
journal theoretical applied physics, 3
waves random complex media, 2
current applied physics, 2
proceedings international association hydrological sciences, 0
laser & photonics reviews, 1
opto-electronics review, 3
atmospheric chemistry & physics discussions, 4
atmospheric science letters, 2
quarterly journal royal meteorological society, 1
bulletin american meteorological society, 1
journal geology, 1
monthly weather review, 1
journal statistical physics, 2
journal electrochemical society, 1
climate dynamics, 1
galaxies, 3
physics chemistry earth b, 2
nature photonics, 1
journal palaeolimnology, 2
e3s web conferences, 0
geophysical journal international, 1
earth planetary science letters, 1
cryosphere discussions, 3
journal atmospheric terrestrial physics, 2
journal applied meteorology climatology, 2
acta physica sinica, 3
optik, 2
atmospheric environment, 2
revista mexicana de fisica, 4
journal electronic imaging, 3
radiation effects defects solids, 3
diamond related materials, 2
geoscientific model development, 1
journal turbulence, 1
quaternary science reviews, 1
bulletin russian academy sciences physics, 3
new journal physics, 1
zeitschrift angewandte mathematik und physik, 1
journal geometry physics, 2
letters mathematical physics, 2
nonlinear processes geophysics, 2
international journal biometeorology, 2
